web-scraper-order,web-scraper-start-url,product-link,product-link-href,name,price,description,Area,tipologia,nWC
"1687768024-1","https://www.remax.pt/","venda-apartamento-t3-vila-nova-de-gaia-santa-marinha-e-sao-pedro-da-afurada                  575 000 €    Collection      Porto -   Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada        Apartamento   140 m2    4    3","https://www.remax.pt/imoveis/venda-apartamento-t3-vila-nova-de-gaia-santa-marinha-e-sao-pedro-da-afurada/125631097-46","Apartamento T3 de luxo à venda em Vila Nova de Gaia","575 000 €","Descrição         Bem-vindo(a) ao seu sonho de apartamento! Temos o prazer de apresentar-lhe um apartamento de luxo T3 com vistas deslumbrantes sobre o Rio Douro em Vila Nova de Gaia. Este apartamento de alto padrão oferece o máximo em conforto e estilo de vida. Com três suítes suspensas, este apartamento é perfeito para famílias que buscam privacidade e conforto. A varanda privada oferece vistas incríveis do Rio Douro e é o local ideal para relaxar após um longo dia de trabalho ou para desfrutar de um jantar ao ar livre com amigos e familiares. Além disso, o edifício conta com um ginásio totalmente equipado para os seus treinos diários e um campo de padel para jogar com amigos. O parque infantil é perfeito para os seus filhos brincarem em segurança, enquanto pode desfrutar da tranquilidade dos jardins. Para quem gosta de caminhar ou correr ao ar livre, o apartamento oferece um amplo espaço exterior com vista para o Rio Douro. Não perca esta oportunidade única de morar em um apartamento de luxo com todas as comodidades que você precisa. Agende sua visita hoje mesmo e comece a desfrutar do estilo de vida exclusivo que este apartamento oferece!","140 m2","3","4"
"1687768027-2","https://www.remax.pt/","venda-apartamento-t4-loures-moscavide-e-portela                 Visita virtual     1 169 000 €    Collection      Lisboa -   Loures, Moscavide e Portela        Apartamento   273 m2    4    4","https://www.remax.pt/imoveis/venda-apartamento-t4-loures-moscavide-e-portela/123251006-412","Apartamento T4 de luxo à venda em Jardins Cristo Rei","1 169 000 €","Descrição   Apartamento T4 de 273,3m2 de Área Bruta Privativa | Varandas com 25m2+18.6m2 | Garagem c/44.6m2 | Piscina de Água Salgada O apartamento está equipado com ar-condicionado central, painéis solares, vidros triplos.Caixilharia com corte termico  e vidro triplo com carateristicas termicas e acusticas Bem-vindo ao paraíso imobiliário onde o luxo e a exclusividade se encontram! Apresentamos esta magnífica propriedade situada num condomínio privado de prestígio, numa zona nobre, que personifica a perfeição do luxo e do conforto. Ao entrar nesta magnífica propriedade, serás recebido por um ambiente que transpira elegância e estilo.
A espaçosa sala de estar, com incríveis 54 m², cuidadosamente decorada com acabamentos de alta qualidade, convida a relaxar e desfrutar de momentos inesquecíveis com a família e amigos. As grandes janelas permitem uma iluminação natural deslumbrante, enquanto a exposição solar norte, sul e poente garante uma atmosfera agradável durante todo o dia.
As varandas deste imóvel são verdadeiros pontos de destaque.
Uma delas, que se estende desde a sala de estar até à cozinha, proporciona um espaço adicional para desfrutar de refeições ao ar livre ou simplesmente apreciar a vista.
A outra varanda abrange todos os quartos, oferecendo um espaço privado para cada membro da família desfrutar de momentos de tranquilidade e contemplação.
A cozinha, com generosos 16 m², é uma verdadeira obra-prima.
Totalmente equipada e projetada com estilo e funcionalidade, esta cozinha luxuosa é acompanhada por uma lavandaria adjacente, proporcionando praticidade e organização no teu dia a dia.
Este imóvel luxuoso dispõe de quatro quartos espaçosos, incluindo duas suítes magníficas que oferecem um refúgio pessoal de tranquilidade e conforto.
Além disso, há um WC de serviço conveniente para atender às necessidades do dia a dia. A casa de banho de apoio é equipada com uma banheira luxuosa para momentos de relaxamento absoluto.
A garagem é uma verdadeiramente notável, com uma box fechada de 45 m², equipada com dois portões para garantir a segurança e privacidade dos veículos.
No exterior, serás cativado pelo amplo terraço que rodeia a propriedade.
Uma piscina para adultos e crianças deslumbrante, oferece um oásis de frescura e relaxamento, perfeito para dias soalheiros e noites estreladas. Para as crianças, um parque infantil seguro e divertido está estrategicamente posicionado, proporcionando diversão ilimitada.
O condomínio privado garante total privacidade e tranquilidade para os residentes mais exigentes.
Esta é uma oportunidade única para viver com estilo e glamour num imóvel de luxo incomparável.
Marque uma visita hoje mesmo e descubra o verdadeiro significado de viver num lar exclusivo.  __________________ Apartment T4 with 273.3m2 of Private Gross Area | Balconies with 25m2+18.6m2 | Garage with 44.6m2 The apartment is equipped with central air conditioning, solar panels, triple glazing. Frames with thermal cut and triple glazing with thermal and acoustic characteristics Welcome to real estate paradise where luxury and exclusivity meet! We present this magnificent property located in a prestigious private condominium, in a noble area, which embodies the perfection of luxury and comfort. Upon entering this magnificent property, you will be greeted by an environment that exudes elegance and style. The spacious living room, with an incredible 54 m², carefully decorated with high quality finishes, invites you to relax and enjoy unforgettable moments with family and friends. Large windows allow for stunning natural lighting, while north, south and west sun exposure ensures a pleasant atmosphere throughout the day. The balconies of this property are true highlights. One of them, which extends from the living room to the kitchen, provides additional space to enjoy alfresco meals or simply enjoy the view. The other balcony covers all the rooms, offering a private space for each member of the family to enjoy moments of tranquility and contemplation. The kitchen, measuring a generous 16 m², is a true masterpiece. Fully equipped and designed with style and functionality, this luxurious kitchen is accompanied by an adjacent laundry room, providing practicality and organization in your daily life. This luxurious property features four spacious bedrooms, including two magnificent suites that offer a personal haven of tranquility and comfort. In addition, there is a convenient guest toilet to meet everyday needs. The support bathroom is equipped with a luxurious bathtub for moments of absolute relaxation. The garage is a truly remarkable one, with a closed box of 45 m², equipped with two gates to guarantee the security and privacy of the vehicles. Outside, you will be captivated by the large terrace that surrounds the property. A stunning swimming pool for adults and children, offers an oasis of freshness and relaxation, perfect for sunny days and starry nights. For children, a safe and fun playground is strategically placed, providing unlimited fun. The private condominium guarantees complete privacy and tranquility for the most demanding residents. This is a unique opportunity to live in style and glamor in an incomparable luxury property.","273 m2","4","4"
"1687768038-3","https://www.remax.pt/","venda-apartamento-t2-cascais-cascais-e-estoril                  1 100 000 €    Collection      Lisboa -   Cascais, Cascais e Estoril        Apartamento   163 m2    3    2","https://www.remax.pt/imoveis/venda-apartamento-t2-cascais-cascais-e-estoril/121021250-36","Apartamento T2 de luxo à venda em Estoril","1 100 000 €","Descrição   Excelente apartamento em Condomínio Exclusivo, com piscina e jardim, no centro do Estoril 
 Trata-se de um T2 com 163m2 de área bruta privativa e 55m2 de área bruta dependente composto por espaçosa sala (56m2) com lareira / recuperador de calor, cozinha moderna totalmente equipada (16m2), suíte (21m2), quarto (13m2), duas casas de banho e wc social. Conta ainda com 2 lugares de estacionamento e arrecadação. Localização espetacular a 2 minutos do casino do Estoril e 5 mim da estação de comboios e praia do Tamariz. Zona muito bem servida de transportes com ótimos acessos à A5 e marginal, comércio, serviços e com as melhores escolas na proximidade, tanto portuguesas como internacionais. Se procura a privacidade, segurança e tranquilidade de um condomínio, sem deixar de lado todas as facilidades de um bairro, este apartamento é para você! ""A informação disponibilizada não dispensa a sua confirmação e não pode ser considerada vinculativa."" Excellent flat in an Exclusive Condominium, with swimming pool and garden, at the center of Estoril It is a T2 with 163sqm of gross private area and 55sqm of gross dependent area comprising a spacious living room (56sqm) with fireplace / stove, fully equipped modern kitchen (16sqm), suite (21sqm), bedroom (13sqm), two complete bathrooms and a social bathroom. It also has 2 garage parking spaces and a storage room. Spectacular location 2 minutes from the Estoril Casino and 5 minutes from the train station and Tamariz beach. Area very well served by transport with lots of access to the A5 highway and costline avenue, shops, services and with the best schools nearby, both Portuguese and international. If you are looking for privacy, security and the tranquility of a condominium, without leaving aside all the facilities of a neighborhood, this apartment is for you!","163 m2","2","3"
"1687768041-4","https://www.remax.pt/","venda-moradia-t4-porto-aldoar-foz-do-douro-e-nevogilde                 Visita virtual     1 150 000 €    Collection      Porto -   Porto, Aldoar, Foz do Douro e Nevogilde        Moradia   184 m2    4    4","https://www.remax.pt/imoveis/venda-moradia-t4-porto-aldoar-foz-do-douro-e-nevogilde/126401033-6","Moradia T4 de luxo à venda em Foz Velha","1 150 000 €","Descrição   Moradia T4 na Foz do Douro (Nova) – Foz Velha – a 230m do Passeio Alegre. Charmosa moradia, localizada na Foz Velha, uma das zonas residenciais mais nobres do Porto.
A moradia conta com uma reabilitação de altíssimo padrão de luxo e requinte, onde os ambientes são ricos em iluminação natural e os acabamentos de excelência.
Com caixilharias em madeira Gercima, vidros duplos (c/ corte térmico), piso em madeira maciça(soalho castanho), piso radiante nas casas de banho, ar condicionado, estores elétricos e solução de capoto para revestimento térmico. Descrição do piso térreo: - Uma aconchegante sala para dois ambientes com acesso direto ao jardim, possui recuperador de calor, revestido em mármore negro. - A cozinha possui uma estrutura sofisticada, equipada com eletrodomésticos , e bancada em mármore Lioz/ Estremoz - WC de serviços, lavandaria e arrumo - Espaço exterior composto por um amplo átrio e um espaço que pode funcionar como garagem ou zona de lazer; Lugar para estacionar confortavelmente dois automóveis. Descrição do piso superior: Uma das suites tem um toque intimista, pé direito alto, casa de banho com iluminação natural e acabamentos sofisticados. Na segunda suite, nos dois quartos, e na casa de banho, o requinte continua em cada detalhe com muito zelo e bom gosto. No geral:
Os roupeiros e armários em MDF lacados O aquecimento das águas sanitárias será efetuado por bomba de calor e painéis fotovoltaicos. Localização: A localização desta moradia se destaca por vários pontos de referência  Mercado da Foz (880 metros)
- Diversidade de bares e restaurantes;
- Lojas, comércios e cafeterias;
- Praia dos Ingleses (740 metros)
- Universidade Católica Portuguesa (450m)
- Oporto British school (500m);
- O Colégio CEBES;
- Próximo do emblemático Passeio Alegre (230m);  _________________________________________________________   Presenting a NEW 4 Bedroom Villa in Foz do Douro - Foz Velha - 230m from Passeio Alegre. Charming villa, located in Foz Velha, one of the noblest residential areas in Porto.
The villa has been refurbished to a very high standard of luxury and refinement, where the environments are rich in natural lighting and with  excellent finishes. Features:
With window frames in Gercima wood, double glazing (with thermal cut),
solid wood (brown floors), underfloor heating in the bathrooms, air conditioning, electric blinds and hood solution for thermal coating. Ground floor description: - A cozy room for two environments with direct access to the garden, has
stove, covered in black marble. - The kitchen has a sophisticated structure, equipped with Siemens appliances, and Lioz/ Estremoz marble countertop - Services WC, laundry and tidy - Outdoor space consisting of a large atrium and a space that can function as a garage or leisure area; Place to comfortably park two cars. Top floor description: One of the suites has an intimate feel, high ceilings, bathroom with natural lighting and sophisticated finishes. In the second suite, in the two bedrooms, and in the bathroom, the refinement continues in every detail, with great care and good taste. In general:
Wardrobes and cabinets in lacquered MDF The heating of sanitary waters will be carried out by a heat pump and photovoltaic panels. Location: The location of this villa stands out for several landmarks - Foz Market (880 meters)
- Diversity of bars and restaurants;
- Shops, shops and cafes;
- Praia dos Ingleses (740 meters)
- Portuguese Catholic University (450m)
- Oporto British school (500m);
- The CEBES College;
- Close to the emblematic Passeio Alegre (230m);","184 m2","4","4"
"1687768045-5","https://www.remax.pt/","venda-apartamento-t3-lisboa-avenidas-novas                 Visita virtual     695 000 €    Collection      Lisboa -   Lisboa, Avenidas Novas        Apartamento   141 m2    2    3","https://www.remax.pt/imoveis/venda-apartamento-t3-lisboa-avenidas-novas/122181485-43","Apartamento T3 de luxo à venda em Lisboa","695 000 €","Descrição   T3 remodelado nas Avenidas Novas! Fantástico apartamento T3 totalmente remodelado nas Avenidas Novas, junto ao El Corte Inglês e Gulbenkian. O apartamento está distribuído em sala de refeições e sala de estar, cozinha totalmente equipada, 3 quartos (dois deles com varandim) e duas casas-de-banho completas. Para além das características apaixonantes desta casa, pode ainda contar com o acesso a um magnífico terraço com vistas sobre a cidade de Lisboa, bem como acesso ao sótão com pé direito de 4m de altura. Está aprovado em acta de condomínio a colocação de elevador no prédio. Visite ainda hoje e apaixone-se: o charme da traça antiga, a luz natural, a localização e as vistas desta casa vão seguramente apaixonar! Uma casa única… a sua casa!   Temos um serviço inovador, tailor made, Your Home:
Serviço de mudanças e armazenamento temporário;
Projecto de Decoração de Interiores;
Pequenas remodelações no contexto do projecto de design;
Serviço de Limpeza do imóvel.   EN T3 refurbished in Avenidas Novas! Fantastic T3 apartment completely renovated in Avenidas Novas, next to El Corte Inglês and Gulbenkian. The apartment comprises a dining room and living room, a fully equipped kitchen, 3 bedrooms (two of them with a balcony) and two complete bathrooms. In addition to the exciting features of this house, you can also count on access to a magnificent terrace with views over the city of Lisbon, as well as access to the attic with a ceiling height of 4m. The placement of an elevator in the building is approved in the condominium minutes. Visit today and fall in love: the charm of the old style, the natural light, the location and the views of this house will surely make you fall in love! A unique home… your home!   FR T3 rénové à Avenidas Novas ! Fantastique appartement T3 entièrement rénové à Avenidas Novas, à côté d'El Corte Inglês et Gulbenkian. L'appartement comprend une salle à manger et un salon, une cuisine entièrement équipée, 3 chambres (dont deux avec balcon) et deux salles de bain complètes. En plus des caractéristiques intéressantes de cette maison, vous pouvez également compter sur l'accès à une magnifique terrasse avec vue sur la ville de Lisbonne, ainsi que sur l'accès au grenier avec une hauteur sous plafond de 4m. La mise en place d'un ascenseur dans l'immeuble est approuvée dans le procès-verbal de copropriété. Visitez aujourd'hui et tombez amoureux : le charme du style ancien, la lumière naturelle, l'emplacement et les vues de cette maison vous feront sûrement tomber amoureux ! Une maison unique… votre maison !","141 m2","3","2"
"1687768048-6","https://www.remax.pt/","arrendamento-moradia-t6-lisboa-belem                 Visita virtual     7 000 €  /  Mensal     Collection      Lisboa -   Lisboa, Belém        Moradia   376 m2    6    6","https://www.remax.pt/imoveis/arrendamento-moradia-t6-lisboa-belem/122911488-10","Moradia T6 de luxo para arrendar em Restelo","7 000 €  /  Mensal","Descrição   Moradia de Luxo localizada num dos mais pretigiados e conceituados bairros de Lisboa.   Inserida num lote de 600 m2, esta moradia tem uma fantástica luminosidade e com uma vista privilegiada sobre o Tejo.   Com uma sala de 60 m2 virada a sul, seis quartos, três deles em suíte esta moradia é ainda composta por um elevador no interior e uma piscina com zona de barbecue. 
A partir do piso 1 temos uma soberba vista de rio e mar.  
Esta moradia foi reconstruída em 2000.   A moradia está dividida de seguinte forma: Piso -1 - Garagem para 3 carros, arrecadação, área técnica e casa das máquinas. Piso 0 - Suíte, lavandaria, hall de entrada, Quarto e adega Piso 1 - Sala de estar e de jantar, cozinha Piso 3 – 2 suítes, 1 quarto, escritório, 2 casas de banho   Área total do terreno: 600 m²; Área bruta de construção: 400m²   Próximo da Torre de Belem, CCB, Fundação Champalimaud, Bairro do Restelo.   Muita luz, zona calma e segura onde podemos encontrar muitas embaixadas.    
Aproveite esta moradia enorme numa das melhores zonas de Lisboa onde será certamente feliz com a sua família.   
Para visitas não hesite em contactar-me!   Alvará de Utilização nº 269, emitida pela Câmara Municipal de Lisboa em 29/06/1963.    Licença de Utilização -","376 m2","6","6"
